TotalPartsSold,TotalPrice,Date
134,2670.47,2/21/2024
126,3243.25,2/22/2024
124,3097.77,2/23/2024
159,3761.65,2/24/2024
150,3998.9,2/26/2024
135,3557.95,2/27/2024
111,2472.99,2/28/2024
111,2665.9,2/29/2024
160,4031.2,3/1/2024
112,1853.48,3/2/2024
128,2697.72,3/4/2024
128,2754.93,3/5/2024
169,3837.81,3/6/2024
132,2714.78,3/7/2024
120,3187.2,3/8/2024
122,2815.88,3/9/2024
141,3141.89,3/11/2024
142,3649.4,3/12/2024
102,2780.59,3/13/2024
120,2967.7,3/14/2024
143,3367.57,3/15/2024
106,2511.15,3/16/2024
172,4985.68,3/18/2024
139,3781.57,3/19/2024
113,2535.57,3/20/2024
43,1194.47,3/21/2024
150,3329.51,3/22/2024
177,3449.87,3/23/2024
120,3055.1,3/25/2024
189,4726.91,3/26/2024
128,2901.52,3/27/2024
146,3308.94,3/28/2024
68,1126.03,3/29/2024
160,3682.41,3/30/2024
148,3479.53,4/1/2024
94,2108.96,4/2/2024
172,3570.18,4/3/2024
165,4225.66,4/4/2024
125,3020.65,4/5/2024
148,3721.9,4/6/2024
166,3570.25,4/8/2024
162,4764.78,4/9/2024
168,3147.74,4/10/2024
99,2664.52,4/11/2024
119,2845.61,4/12/2024
135,3028.66,4/13/2024
168,3351.75,4/15/2024
126,3495.85,4/16/2024
101,2691.7,4/17/2024
110,2453.22,4/18/2024
118,3534.12,4/19/2024
147,2890.65,4/20/2024
121,2646.2,4/22/2024
117,3066.13,4/23/2024
111,3017.19,4/24/2024
126,3055.74,4/25/2024
117,2773.13,4/26/2024
118,3181.42,4/27/2024
128,3689.62,4/29/2024
143,3633.07,4/30/2024
136,3250.24,5/1/2024
46,1319.45,5/2/2024
109,2636.31,5/3/2024
107,2431.95,5/4/2024
158,3726.77,5/6/2024
106,2814.34,5/7/2024
107,1969.16,5/8/2024
128,2655.22,5/9/2024
83,1873.57,5/10/2024
121,2752.8,5/11/2024
97,1812.03,5/13/2024
158,3745.72,5/14/2024
132,2546.09,5/15/2024
131,2452.09,5/16/2024
68,1817.12,5/18/2024
124,2690.38,5/20/2024
106,1960.84,5/21/2024
104,2376.26,5/22/2024
138,3105.23,5/23/2024
98,2249.62,5/24/2024
203,3869.23,5/25/2024
