Part,BaseValue,TotalAddedValue,CompleteValue
STEERING WHEEL COVER,2.2274324324324324,1662.2028333333335,1664.4302657657659
SIGNAL LIGHT,8.989999999999998,246.34500000000003,255.33500000000004
HEAD REST,4.561428571428572,1127.8956666666666,1132.4570952380952
POWER STEERING ELEC,34.06407407407408,989.845,1023.909074074074
HEADLIGHT BALLAST,19.99,648.915,668.905
CAM SENSORS,9.25,5.98,15.23
RADIO AMP,14.124054054054055,1546.5583333333334,1560.6823873873875
CORNER LIGHT,8.05,844.0450000000001,852.095
FENDER STRUCTURE INNER,48.246705882352934,1705.0383333333334,1753.2850392156863
BULBS,0.5078571428571428,168.28944444444446,168.7973015873016
RADIATOR HOUSINGS,2.5,24.99,27.49
BED RAILS,9.5,243.45833333333337,252.95833333333337
PARK/TURNLAMP ASSY,6.334868735083532,5868.3825,5874.717368735083
ENGINE HARNESS,24.5,897.4300000000002,921.9300000000002
SWITCH SINGLE,4.2635849056603785,981.5216666666666,985.7852515723271
A FRAME,24.99,64.98,89.97
HEADLIGHT MOUNT PANN,9.5,838.615,848.115
PARK/TURNLAMP LENS,0.79,37.925000000000004,38.715
COIL PACK MODULE,9.5,187.78500000000003,197.28500000000003
LIGHT LENS ONLY,0.79,62.114999999999995,62.904999999999994
WEATHER STRIPPING (.79 PER FT.),0.7883919597989952,1553.023590909091,1553.8119828688898
HEAD (WITH CAM),73.04985074626865,1095.8249999999996,1168.8748507462683
CRUISE CONTROL,10.717272727272727,137.47,148.18727272727273
SPEAKER BOX,9.275272727272727,744.4050000000001,753.6802727272728
ABS SENSOR,4.5,112.245,116.745
FLOOR SHIFTER,34.99,1346.15,1381.14
DISTRIBUTOR CAP/NO MODULE,4.010000000000002,498.9516666666667,502.9616666666667
SWITCH COMBO,9.386825396825396,2469.9900000000002,2479.3768253968256
IGNITION SWITCH,9.99,812.1675,822.1575
SCREWS/BOLTS,0.2588888888888889,43.24816666666666,43.50705555555555
MAP CENSOR,4.5,32.395,36.895
POWER STEERING LINES,9.99,318.99,328.98
MISC.,1.8804291044776118,3799.33587588577,3801.2163049902474
CRANK CAM SENSOR,1.99,9.155000000000001,11.145000000000001
FENDER SPECIAL,16.0,248.07500000000005,264.07500000000005
HOOD SPECIAL,21.0,40.97,61.97
SPINDLE N/A HUB,12.99,29.979999999999997,42.97
WINDOW MODULE,4.6525,121.98500000000001,126.63750000000002
BUMPER SPECIAL 1/2,21.0,245.91,266.90999999999997
BUMPER SHOCK,4.99,34.34,39.330000000000005
SEAT SWITCH,3.5,147.87,151.37
OXYGEN SENSOR,9.99,283.47,293.46000000000004
GAS TANK,49.21,245.85999999999999,295.07
CONDENSOR SPECIAL,12.800000000000002,32.94,45.74
RADIATOR SPECIAL,22.800000000000004,98.71999999999998,121.51999999999998
CARRIER HOUSING,15.99,52.87,68.86
TURBO CHARGER,49.99,361.61999999999995,411.60999999999996
CLUTCH MASTER CYLINDER,12.989999999999998,89.59,102.58
VACUUM LINE EACH,1.2144897959183674,378.2416666666666,379.456156462585
GEAR BOX,30.969154929577453,1178.9950000000001,1209.9641549295775
FUSES,0.395,1.8197681159420291,2.214768115942029
SHIFTER CABLE,9.990000000000002,694.44,704.4300000000001
TURBO INTER COOLER,24.990000000000002,125.76499999999996,150.75499999999997
BUSHING,2.7980000000000005,79.655,82.453
OIL FILTER,4.5,29.39,33.89
