Ranking,Vehicle Year-Model,Coefficient
4728.0,2014.0_GRAND CARAVAN,-53.65696028888417
4727.0,1993.0_600,-53.64775609760258
4726.0,2005.0_CAVALIER,-53.57979582140124
4725.0,2008.0_SEQUOIA,-53.49937539669887
4724.0,1992.0_SUNDANCE,-53.47377477456398
4723.0,2017.0_SONATA,-53.399390756739756
4722.0,2001.0_F-150,-53.31834647975244
4721.0,2017.0_ACCENT,-53.24803141946492
4720.0,2009.0_BORREGO,-53.09959036522244
4719.0,2012.0_PRIUS C,-53.043614348086436
4718.0,1995.0_CARAVAN,-53.023190332098686
4717.0,2021.0_EQUINOX,-52.92945176454426
4716.0,2008.0_DURANGO,-52.91270705741098
4715.0,2007.0_F-150,-52.828897813705254
4714.0,2006.0_EQUINOX,-52.78393415315354
4713.0,2004.0_L300,-52.74349836380737
4712.0,2008.0_XL-7,-52.726861667383446
4711.0,1999.0_CONCORDE,-52.69465038894997
4710.0,1995.0_LEGEND,-52.68158931033212
4709.0,2008.0_LACROSSE,-52.65605858723485
4708.0,1994.0_GRAND CARAVAN,-52.655755169236315
4707.0,2014.0_VERSA NOTE,-52.65026513379568
4706.0,2003.0_LS 430,-52.602278132995714
4705.0,2006.0_RANGER,-52.51616801779018
4704.0,1997.0_SIDEKICK,-52.4932384073536
4703.0,1968.0_F100,-52.415556694638745
4702.0,2013.0_G37X,-52.404973657179426
4701.0,2008.0_MOUNTAINEER,-52.37907954403234
4700.0,1996.0_J30,-52.351750231715876
4699.0,2006.0_MALIBU,-52.25937800004601
4698.0,2010.0_CHARGER,-52.243154450906516
4697.0,2017.0_IMPALA,-52.21778462016597
4696.0,2006.0_FX35,-52.144305431844856
4695.0,2002.0_XG350,-52.12880567997963
4694.0,2005.0_ALTIMA,-52.089512146618276
4693.0,2004.0_SEQUOIA,-52.068847724635255
4692.0,2005.0_X-TYPE,-52.05640760702216
4691.0,1994.0_SUBURBAN,-52.053627322699796
4690.0,1995.0_ALTIMA,-52.050112878961
4689.0,1993.0_4RUNNER,-51.993707708652515
4688.0,2018.0_VERSA NOTE,-51.95226763595236
4687.0,2004.0_AVALON,-51.94298281093882
4686.0,2007.0_ESCAPE HYBRID,-51.883590644597035
4685.0,1999.0_BRAVADA,-51.793037927886296
4684.0,2006.0_E-CLASS,-51.77644501499789
4683.0,1988.0_GRAND VOYAGER,-51.681875888318466
4682.0,2000.0_SIERRA,-51.61353073210328
4681.0,1997.0_S SERIES,-51.59279870333318
4680.0,2020.0_CHEROKEE,-51.47985933191038
4679.0,2003.0_S10,-51.186401320626224
4678.0,1997.0_LUMINA,-51.14741100593745
4677.0,2006.0_OUTBACK,-51.09110012372702
4676.0,1987.0_420,-51.014455561306875
4675.0,2001.0_CABRIO,-50.98977232934521
4674.0,2017.0_TUCSON,-50.85879541229429
4673.0,2005.0_3-Sep,-50.857191477999194
4672.0,1996.0_CARAVAN,-50.75900327384618
4671.0,1989.0_740 SERIES,-50.727007227390075
4670.0,1995.0_RANGER,-50.6863863139191
4669.0,2016.0_ROGUE,-50.68460353851233
4668.0,1997.0_E-350 WAGON,-50.675313765272335
4667.0,2004.0_FX35,-50.574124246233026
4666.0,2015.0_SENTRA,-50.56901964670221
4665.0,2001.0_LANOS,-50.506250757695156
4664.0,2010.0_TRANSIT CONNECT,-50.430850218780286
4663.0,2001.0_MAXIMA,-50.379056569646764
4662.0,1991.0_ECONOLINE,-50.35358384796824
4661.0,1991.0_ELDORADO,-50.34185609157766
4660.0,1997.0_CIVIC,-50.34140857322449
4659.0,1998.0_PICKUP,-50.28786034847933
4658.0,2003.0_ELEMENT,-50.28519254364832
4657.0,2003.0_CIVIC,-50.08574778028945
4656.0,2013.0_C-CLASS,-50.04172539088701
4655.0,1995.0_METRO,-49.99868515155618
4654.0,2015.0_GRAND CARAVAN,-49.9324908816882
4653.0,1994.0_INTREPID,-49.91559425948958
4652.0,1995.0_SWIFT,-49.91532532865401
4651.0,1999.0_3-Sep,-49.850382483442964
4650.0,1995.0_SL-CLASS,-49.80437908745103
4649.0,2005.0_ASTRO,-49.687859074759686
4648.0,2000.0_GS 300,-49.6792279083153
4647.0,2010.0_OPTIMA,-49.61208054714637
4646.0,2005.0_GRAND PRIX,-49.60280790514996
4645.0,1999.0_MONTE CARLO,-49.486404103909855
4644.0,2003.0_SABLE,-49.47516200697617
4643.0,2009.0_PATRIOT,-49.44733441173936
4642.0,2000.0_SENTRA,-49.432288410052216
4641.0,2004.0_IS 300,-49.30203221519282
4640.0,2009.0_CALIBER,-49.23627390411641
4639.0,1989.0_ACCORD,-49.05403997003061
4638.0,2015.0_TC,-49.04685264604876
4637.0,2009.0_E-CLASS,-49.035178479517164
4636.0,2005.0_TERRAZA,-49.00811098857708
4635.0,2008.0_RANGE ROVER,-48.992271147710404
4634.0,2007.0_3 SERIES,-48.887780506730444
4633.0,2003.0_CAMRY SOLARA,-48.88163322522462
4632.0,1995.0_RIVIERA,-48.749424368990994
4631.0,2000.0_G20,-48.718249998748746
4630.0,2001.0_RX 300,-48.68964389754799
4629.0,1997.0_JIMMY,-48.68258234073964
4628.0,2009.0_RX 350,-48.672633399353735
4627.0,2003.0_CAVALIER,-48.57241377998774
4626.0,2019.0_OPTIMA,-48.524604185701236
4625.0,1999.0_CAMRY,-48.52005414181696
4624.0,2001.0_LIMO,-48.4443826959338
4623.0,1999.0_ASTRO,-48.40591765890015
4622.0,2007.0_TOWN CAR,-48.36939364288581
4621.0,2015.0_VERSA NOTE,-48.36167438314331
4620.0,2003.0_ODYSSEY,-48.36127306820055
4619.0,2011.0_JUKE,-48.278088230800584
4618.0,2014.0_AVENGER,-48.22329024816827
4617.0,2008.0_QX56,-48.199834335876595
4616.0,2008.0_UPLANDER,-48.1595915982974
4615.0,1990.0_VAN,-48.128973201028145
4614.0,1997.0_MONTERO,-48.12767712841805
4613.0,2011.0_LEAF,-48.11476693565054
4612.0,2008.0_ENCLAVE,-48.108091417320246
4611.0,1996.0_INTREPID,-48.10691812524772
4610.0,2005.0_GOLF,-48.03177138636071
4609.0,2000.0_626,-48.03063646974919
4608.0,2001.0_F-250,-48.010011504161874
4607.0,2009.0_VIBE,-47.98511058776336
4606.0,1998.0_PASSAT,-47.96963465434265
4605.0,2014.0_F-350,-47.92297602959425
4604.0,2004.0_TOUAREG,-47.912864942956055
4603.0,1992.0_500,-47.905843207622155
4602.0,2012.0_PRIUS,-47.901477074794634
4601.0,1989.0_TEMPO,-47.89453564273837
4600.0,2015.0_XTS,-47.84007224173659
4599.0,2014.0_EQUUS,-47.799597072864756
4598.0,2008.0_ENVOY,-47.7857806734137
4597.0,2002.0_SPORTAGE,-47.77604458040676
4596.0,2009.0_FIT,-47.600482143599486
4595.0,2007.0_RAINIER,-47.60022875040845
4594.0,2012.0_XF,-47.580679839540565
4593.0,1990.0_ESCORT,-47.41179992508937
4592.0,1996.0_EXPLORER,-47.370485144779096
4591.0,2015.0_ALTIMA,-47.31243128390618
4590.0,2001.0_SPORTAGE,-47.24579288440035
4589.0,2005.0_TRAILBLAZER,-47.2300641637107
4588.0,1998.0_4RUNNER,-47.20601094282661
4587.0,2012.0_SONIC,-47.198278337701936
4586.0,2002.0_SAVANA,-47.146434982515544
4585.0,1997.0_PREVIA,-46.91455483239087
4584.0,2006.0_PATHFINDER,-46.88412697206897
4583.0,2009.0_OUTLANDER,-46.85773745461851
4582.0,2002.0_CONCORDE,-46.779263045654474
4581.0,2019.0_VERSA,-46.75877398418914
4580.0,2008.0_3 SERIES,-46.699010483544825
4579.0,1993.0_MAXIMA,-46.67575344095474
4578.0,2008.0_AZERA,-46.6613924368812
4577.0,1988.0_FIERO,-46.60101496889585
4576.0,1989.0_CLUB WAGON,-46.55480974465277
4575.0,1988.0_G1500 RALLY,-46.34643282894604
4574.0,1987.0_RAM,-46.332996118677926
4573.0,2003.0_EXPLORER SPORT TRAC,-46.302969415284124
4572.0,1979.0_MUSTANG,-46.16792286344078
4571.0,2010.0_MURANO,-46.06265987649222
4570.0,2009.0_TIGUAN,-46.052407313356646
4569.0,2005.0_PT CRUISER,-46.02750620467041
