Vehicle Year-Model,Coefficient,Ranking
2020.0_CHEROKEE,-1.8243618378558308,4707.0
2001.0_NEW BEETLE,-1.8148116596668977,4706.0
1998.0_RL,-1.8130957599759645,4705.0
2010.0_S-CLASS,-1.808551430987656,4704.0
1995.0_RIVIERA,-1.8041337376102535,4703.0
1989.0_G20,-1.8036068578092614,4702.0
2000.0_SUBURBAN,-1.8021542623498652,4701.0
1998.0_LUMINA,-1.7986798150079275,4700.0
2003.0_ODYSSEY,-1.797945981141422,4699.0
1988.0_FOX,-1.7968712794288624,4698.0
2014.0_FIESTA,-1.7925590982719093,4697.0
2007.0_DAKOTA,-1.7907134155877076,4696.0
2004.0_XA,-1.79022706710493,4695.0
1993.0_323,-1.7874472837943132,4694.0
2006.0_EQUINOX,-1.7825503145698707,4693.0
2015.0_JOURNEY,-1.7753645416322041,4692.0
2010.0_MKT,-1.7745420579955182,4691.0
2005.0_ELEMENT,-1.7742095500096016,4690.0
2009.0_SIERRA,-1.7730936952470886,4689.0
2015.0_XB,-1.7681862915630198,4688.0
2010.0_PRIUS,-1.7666552845802033,4687.0
2001.0_PT CRUISER,-1.7664101685609455,4686.0
1994.0_QUEST,-1.766371994175701,4685.0
2000.0_M-CLASS,-1.765026304465137,4684.0
2006.0_OUTBACK,-1.7615258176571265,4683.0
2002.0_CROWN VICTORIA,-1.7604990989078166,4682.0
2009.0_AVALON,-1.7595336014215408,4681.0
2011.0_LACROSSE,-1.759018532511974,4680.0
2000.0_YUKON XL,-1.7579982987851843,4679.0
2006.0_SOLSTICE,-1.7575099177276432,4678.0
1991.0_300,-1.756387994130981,4677.0
1997.0_BREEZE,-1.7515672466354573,4676.0
1996.0_RAM PICKUP,-1.7512896820316068,4675.0
1999.0_JETTA,-1.7474454639525316,4674.0
1988.0_DEVILLE,-1.7464395270177362,4673.0
1996.0_J30,-1.7413990957218946,4672.0
2016.0_TRANSIT VAN,-1.7351434940915718,4671.0
2000.0_TT,-1.735025275500937,4670.0
2010.0_SONATA,-1.7344951951511935,4669.0
2014.0_ODYSSEY,-1.732636003202272,4668.0
1998.0_INTEGRA,-1.7303784867063283,4667.0
1988.0_PICKUP,-1.7298270486465,4666.0
2001.0_EXPRESS,-1.7293224209299127,4665.0
2001.0_DISCOVERY II,-1.727555891880821,4664.0
1990.0_G30,-1.7255567869520936,4663.0
1995.0_G30,-1.7218991571249203,4662.0
2017.0_VERSA NOTE,-1.721750541000889,4661.0
2008.0_M45,-1.7190337239752496,4660.0
2002.0_TROOPER,-1.710828105187369,4659.0
2014.0_SONATA,-1.7091511253848573,4658.0
2008.0_RDX,-1.7058290628043338,4657.0
2004.0_L300,-1.7049864732094633,4656.0
2003.0_TL,-1.7046719150222696,4655.0
1998.0_MIRAGE,-1.7006735206820187,4654.0
2007.0_RAM PICKUP,-1.6994868581319529,4653.0
2008.0_TSX,-1.6986222602630312,4652.0
1999.0_ALTIMA,-1.6970598170420241,4651.0
2014.0_COOPER,-1.6970217402217078,4650.0
1989.0_RAM WAGON,-1.6937767020181655,4649.0
2004.0_TOWN & COUNTRY,-1.692778821155083,4648.0
2001.0_Z3,-1.691247313127648,4647.0
2007.0_RAINIER,-1.689976191689032,4646.0
2006.0_E-CLASS,-1.6850417058706855,4645.0
2005.0_ENVOY XL,-1.68331794479731,4644.0
2007.0_GRAND PRIX,-1.6803868463132554,4643.0
1993.0_SAFARI,-1.678623179347815,4642.0
2011.0_200,-1.6781534771134112,4641.0
2010.0_MARINER,-1.675502499411176,4640.0
1992.0_SUNDANCE,-1.6720958683908986,4639.0
2009.0_LEGACY,-1.6719592287722966,4638.0
1997.0_HOMBRE,-1.6691283294069168,4637.0
2004.0_SANTA FE,-1.6681357500830556,4636.0
2001.0_VOYAGER,-1.6642404296952826,4635.0
2003.0_RIO,-1.662433999794407,4634.0
2008.0_GRAND CARAVAN,-1.6615958798937596,4633.0
1990.0_S10,-1.659982198369415,4632.0
2006.0_XC90,-1.6580663607498565,4631.0
2017.0_ELANTRA,-1.65322727870307,4630.0
2008.0_SENTRA,-1.6516758832010505,4629.0
1996.0_900,-1.6473631477979884,4628.0
2001.0_ECHO,-1.642370050793578,4627.0
1994.0_TERCEL,-1.638080286124518,4626.0
1991.0_STEALTH,-1.6360851480400556,4625.0
2004.0_RANGE ROVER,-1.6330054332663742,4624.0
1989.0_C3500,-1.630727789723206,4623.0
1989.0_INTERNATIONAL,-1.6293051569928276,4622.0
2012.0_ARMADA,-1.6280157332410026,4621.0
2015.0_PACEMAN,-1.6253379206072194,4620.0
2003.0_CARAVAN,-1.6249744133031458,4619.0
1998.0_DEVILLE,-1.6247088293754035,4618.0
2007.0_EXPLORER,-1.6237137275863824,4617.0
1995.0_MIRAGE,-1.6235234589627443,4616.0
2009.0_CALIBER,-1.6218577352972359,4615.0
2002.0_F-350,-1.619725492507896,4614.0
2006.0_RANGER,-1.6175680168374498,4613.0
1991.0_ESCORT,-1.61166864583846,4612.0
2008.0_IS 350,-1.6108805455269666,4611.0
2007.0_RABBIT,-1.607640329959244,4610.0
2003.0_DEVILLE,-1.6064100786608146,4609.0
2013.0_DART,-1.602025089101157,4608.0
2002.0_SONATA,-1.6020155904276758,4607.0
1997.0_E-350 WAGON,-1.60190778164171,4606.0
2018.0_FIESTA,-1.6016158514505774,4605.0
1979.0_MUSTANG,-1.6005598140284667,4604.0
2014.0_CRUZE,-1.599334171599776,4603.0
2000.0_3-Sep,-1.5978116180696254,4602.0
1993.0_FLEETWOOD,-1.5945324542161963,4601.0
2013.0_FORTWO,-1.5913151276130915,4600.0
1997.0_GRAND VOYAGER,-1.5900123002987394,4599.0
1998.0_5 SERIES,-1.58907924920907,4598.0
1999.0_CR-V,-1.588035979588762,4597.0
2001.0_RAM VAN,-1.5843840698483178,4596.0
1979.0_CAPRICE,-1.5836211308536616,4595.0
2015.0_ACCORD,-1.5744724234181433,4594.0
2003.0_SIENNA,-1.5730131360809507,4593.0
2000.0_A4,-1.5705105450510777,4592.0
2015.0_TC,-1.568818691204463,4591.0
2014.0_A7,-1.5668753360049945,4590.0
2010.0_MAXIMA,-1.5662046478112297,4589.0
2002.0_F-150,-1.561969446935258,4588.0
2012.0_CAPTIVA SPORT,-1.5600826426379562,4587.0
2004.0_AVALON,-1.5597671003345785,4586.0
2014.0_VERSA,-1.5596297868305031,4585.0
1996.0_THUNDERBIRD,-1.5593133707088036,4584.0
2011.0_ACCENT,-1.543304876128701,4583.0
1995.0_MONTE CARLO,-1.542160313392249,4582.0
2001.0_CENTURY,-1.541990052425718,4581.0
1994.0_SUBURBAN,-1.5418991205181904,4580.0
1997.0_SAFARI,-1.530259738738144,4579.0
2010.0_LANCER,-1.5274803694787156,4578.0
2000.0_WINDSTAR,-1.526660634023304,4577.0
2007.0_XC90,-1.5250689046942194,4576.0
2020.0_370Z,-1.5247132316679344,4575.0
